config,model,dataset,timestamp,file,throughput,accept_length,accept_length_std,output_tokens,num_steps,num_turns,num_turns_nonempty,mean_draft_per_step,elapsed_s
static_3_1_4,llama,livecodebench,20260418_131411,static_3_1_4_llama_livecodebench_20260418_131411.json,152.99519804788542,2.5375556137136877,1.2911492610858495,9696,3821,20,20,4,63.374538048999966
static_3_1_4,llama,math500,20260418_131411,static_3_1_4_llama_math500_20260418_131411.json,151.09642999082078,2.7496087636932707,1.2252371847442032,10542,3834,20,20,4,69.77001376300177
static_3_1_4,llama,mtbench,20260418_123458,static_3_1_4_llama_mtbench_20260418_123458.json,166.28168722162212,2.726419213973799,1.2407037088907558,12487,4580,40,40,4,75.09546125399356
static_3_1_4,qwen,livecodebench,20260418_133226,static_3_1_4_qwen_livecodebench_20260418_133226.json,115.58887143828322,1.9015008495374741,1.0163249385109385,40289,21188,20,20,4,348.55431581501034
static_3_1_4,qwen,math500,20260418_133226,static_3_1_4_qwen_math500_20260418_133226.json,120.64502351787033,1.9651309408341415,1.0698207548238985,40521,20620,20,20,4,335.8696348879894
static_3_1_4,qwen,mtbench,20260418_133226,static_3_1_4_qwen_mtbench_20260418_133226.json,160.3907777637255,2.639880267096477,1.1926077158724933,68790,26058,40,40,4,428.88999579100346
static_6_10_60,llama,livecodebench,20260418_123458,static_6_10_60_llama_livecodebench_20260418_123458.json,131.5123028393191,3.3347893915756632,2.2033707677909047,10688,3205,20,20,60,81.26996310800314
static_6_10_60,llama,math500,20260418_123458,static_6_10_60_llama_math500_20260418_123458.json,177.51562295585737,4.413990007137759,2.0021198251684864,12368,2802,20,20,60,69.67274087799888
static_6_10_60,llama,mtbench,20260418_123458,static_6_10_60_llama_mtbench_20260418_123458.json,199.0586818672193,4.996359223300971,1.9600549032385366,12351,2472,40,40,60,62.047029971989105
static_6_10_60,qwen,livecodebench,20260418_151054,static_6_10_60_qwen_livecodebench_20260418_151054.json,142.68031978310051,3.1436481322623413,1.4818404825800948,40311,12823,20,20,60,282.52670067799045
static_6_10_60,qwen,math500,20260418_151054,static_6_10_60_qwen_math500_20260418_151054.json,146.3946489973603,3.1845698305642376,1.598028511188283,38718,12158,20,20,60,264.47687989400583
static_6_10_60,qwen,mtbench,20260418_151054,static_6_10_60_qwen_mtbench_20260418_151054.json,205.46109941031995,4.608827043362147,2.101853900301604,65579,14229,40,40,60,319.1796412469994
static_7_1_8,llama,livecodebench,20260418_123458,static_7_1_8_llama_livecodebench_20260418_123458.json,152.85081900162461,3.0224502886465685,2.4189510287462075,9424,3118,20,20,8,61.65488717400876
static_7_1_8,llama,math500,20260418_123458,static_7_1_8_llama_math500_20260418_123458.json,177.48289433579959,3.460131466133181,2.344396634842141,12107,3499,20,20,8,68.21502458199393
static_7_1_8,llama,mtbench,20260418_123458,static_7_1_8_llama_mtbench_20260418_123458.json,177.858894853822,3.494047619047619,2.416342102829313,12914,3696,40,40,8,72.60812010899826
static_7_1_8,qwen,livecodebench,20260418_151054,static_7_1_8_qwen_livecodebench_20260418_151054.json,100.59299836873392,1.9853223661527852,1.2564883776429947,40308,20303,20,20,8,400.70383280799433
static_7_1_8,qwen,math500,20260418_133226,static_7_1_8_qwen_math500_20260418_133226.json,106.03652253446612,2.043725271380745,1.3489765341795832,40290,19714,20,20,8,379.96342238500074
static_7_1_8,qwen,mtbench,20260418_133226,static_7_1_8_qwen_mtbench_20260418_133226.json,170.04236421529913,3.342594096940157,2.355315007913346,61721,18465,40,40,8,362.97425223900063
static_7_4_8,llama,livecodebench,20260418_123458,static_7_4_8_llama_livecodebench_20260418_123458.json,162.62184344206466,3.3053435114503817,2.3043345173031757,9526,2882,20,20,8,58.57761662499979
static_7_4_8,llama,math500,20260418_123458,static_7_4_8_llama_math500_20260418_123458.json,191.31710483339597,3.829742876997915,2.203712674483199,11022,2878,20,20,8,57.611158236992196
static_7_4_8,llama,mtbench,20260418_123458,static_7_4_8_llama_mtbench_20260418_123458.json,185.2512542615602,3.728736931336536,2.0577689269670008,13196,3539,40,40,8,71.23298599300324
static_7_4_8,qwen,livecodebench,20260418_151054,static_7_4_8_qwen_livecodebench_20260418_151054.json,120.2496000162719,2.389456981664316,1.2189748390005892,40659,17016,20,20,8,338.1217068039987
static_7_4_8,qwen,math500,20260418_151054,static_7_4_8_qwen_math500_20260418_151054.json,123.22169550415663,2.439286144941517,1.3350311006826583,40458,16586,20,20,8,328.3350373849971
static_7_4_8,qwen,mtbench,20260418_151054,static_7_4_8_qwen_mtbench_20260418_151054.json,179.1394179369312,3.603124654963012,2.17846597084217,65267,18114,40,40,8,364.33634066500235
v3_dynamic,llama,livecodebench,20260418_131411,v3_dynamic_llama_livecodebench_20260418_131411.json,176.50417327196712,3.361101306036004,2.241790400969656,9522,2833,20,20,7.967172608542182,53.947732925997116
v3_dynamic,llama,math500,20260418_123458,v3_dynamic_llama_math500_20260418_123458.json,204.09464955251687,3.8098001289490653,2.169017378483275,11818,3102,20,20,7.975822050290136,57.90450668800622
v3_dynamic,llama,mtbench,20260418_123458,v3_dynamic_llama_mtbench_20260418_123458.json,180.35067643978104,3.7591992934942597,2.002281964429699,12770,3397,40,40,7.969973506034736,70.80649904999882
v6_dynamic,llama,livecodebench,20260418_131411,v6_dynamic_llama_livecodebench_20260418_131411.json,177.174603864236,3.402690326273612,2.5255656000493345,11889,3494,20,20,9.316256439610761,67.10329663900484
v6_dynamic,llama,math500,20260418_131411,v6_dynamic_llama_math500_20260418_131411.json,182.13966746654896,3.4830654420206657,2.4424489919711623,12135,3484,20,20,9.609357060849598,66.62469614000292
v6_dynamic,llama,mtbench,20260418_131411,v6_dynamic_llama_mtbench_20260418_131411.json,197.55983481347877,3.839329268292683,2.2748845135784315,12593,3280,40,40,9.836585365853658,63.74271375499666
v6_dynamic,qwen,livecodebench,20260418_165938,v6_dynamic_qwen_livecodebench_20260418_165938.json,122.2198533560656,2.2716983246484004,1.2393669413888795,40543,17847,20,20,10.24536336639211,331.721883856997
v6_dynamic,qwen,math500,20260418_165938,v6_dynamic_qwen_math500_20260418_165938.json,124.31626584699865,2.325161887141536,1.3527238415707346,40216,17296,20,20,10.116558741905642,323.4974902600079
v6_dynamic,qwen,mtbench,20260418_165938,v6_dynamic_qwen_mtbench_20260418_165938.json,181.20420023936276,3.7306328272193285,2.6577630086163997,67323,18046,40,40,9.908068269976726,371.5311229600047
